ID,Category
0110.jpg,beach
0111.jpg,drugstore
0112.jpg,amusement_park
0113.jpg,junk_pile
0114.jpg,butchers_shop
0115.jpg,office
0116.jpg,teashop
0117.jpg,rubble
0118.jpg,hill
0119.jpg,amusement_park
0120.jpg,creek
0121.jpg,fort
0122.jpg,village
0123.jpg,butchers_shop
0124.jpg,pond
0125.jpg,office_cubicles
0126.jpg,swamp
0127.jpg,park
0128.jpg,motel
0129.jpg,airplane_cabin
0130.jpg,utility_room
0131.jpg,winery
0132.jpg,gorge
0133.jpg,cemetery
0134.jpg,ramp
0135.jpg,attic
0136.jpg,roof
0137.jpg,art_school
0138.jpg,ballroom
0139.jpg,art_school
0140.jpg,valley
0141.jpg,hospital
0142.jpg,aquarium
0143.jpg,yard
0144.jpg,seawall
0145.jpg,desert_road
0146.jpg,orchard
0147.jpg,lawn
0148.jpg,mine
0149.jpg,sea_cliff
0150.jpg,town_house
0151.jpg,junk_pile
0152.jpg,phone_booth
0153.jpg,freeway
0154.jpg,parlor
0155.jpg,highway
0156.jpg,crosswalk
0157.jpg,sandbar
0158.jpg,parlor
0159.jpg,yard
0160.jpg,freeway
0161.jpg,mansion
0162.jpg,town_house
0163.jpg,closet
0164.jpg,gasworks
0165.jpg,conference_room
0166.jpg,office_building
0167.jpg,bedroom
0168.jpg,ranch
0169.jpg,reading_room
0170.jpg,gorge
0171.jpg,gasworks
0172.jpg,mansion
0173.jpg,ice_shelf
0174.jpg,chapel
0175.jpg,coffee_shop
0176.jpg,picnic_area
0177.jpg,dentists_office
0178.jpg,television_studio
0179.jpg,shower
0180.jpg,badlands
0181.jpg,naval_base
0182.jpg,downtown
0183.jpg,resort
0184.jpg,bowling_alley
0185.jpg,sawmill
0186.jpg,sawmill
0187.jpg,fountain
0188.jpg,orchard
0189.jpg,dam
0190.jpg,reception
0191.jpg,water_mill
0192.jpg,cottage_garden
0193.jpg,galley
0194.jpg,sushi_bar
0195.jpg,repair_shop
0196.jpg,butchers_shop
0197.jpg,watering_hole
0198.jpg,railway_yard
0199.jpg,picnic_area
0200.jpg,islet
0201.jpg,kindergarden_classroom
0202.jpg,sky
0203.jpg,dentists_office
0204.jpg,park
0205.jpg,cafeteria
0206.jpg,clothing_store
0207.jpg,piano_store
0208.jpg,canyon
0209.jpg,pasture
0210.jpg,utility_room
0211.jpg,fastfood_restaurant
0212.jpg,bathroom
0213.jpg,clothing_store
0214.jpg,bridge
0215.jpg,fire_station
0216.jpg,castle
0217.jpg,building_facade
0218.jpg,freeway
0219.jpg,ocean
0220.jpg,cliff
0221.jpg,shopfront
0222.jpg,ski_resort
0223.jpg,valley
0224.jpg,bicycle_racks
0225.jpg,flood
0226.jpg,fence
0227.jpg,farm
0228.jpg,coffee_shop
0229.jpg,railway_yard
0230.jpg,seawall
0231.jpg,baseball_field
0232.jpg,chemistry_lab
0233.jpg,cafeteria
0234.jpg,palace
0235.jpg,woodland
0236.jpg,parlor
0237.jpg,ice_shelf
0238.jpg,airfield
0239.jpg,picnic_area
0240.jpg,bayou
0241.jpg,office_building
0242.jpg,forest_road
0243.jpg,amphitheater
0244.jpg,living_room
0245.jpg,armory
0246.jpg,city
0247.jpg,gift_shop
0248.jpg,pharmacy
0249.jpg,snowfield
0250.jpg,phone_booth
0251.jpg,reception
0252.jpg,farm
0253.jpg,chemistry_lab
0254.jpg,city
0255.jpg,pavilion
0256.jpg,nightclub
0257.jpg,closet
0258.jpg,staircase
0259.jpg,roof
0260.jpg,motel
0261.jpg,cliff
0262.jpg,barn
0263.jpg,dining_hall
0264.jpg,freeway
0265.jpg,pagoda
0266.jpg,sushi_bar
0267.jpg,gas_station
0268.jpg,bedroom
0269.jpg,oasis
0270.jpg,amusement_arcade
0271.jpg,badlands
0272.jpg,ranch
0273.jpg,fishpond
0274.jpg,nightclub
0275.jpg,cliff
0276.jpg,forest_road
0277.jpg,aquarium
0278.jpg,glacier
0279.jpg,resort
0280.jpg,ballroom
0281.jpg,amusement_arcade
0282.jpg,sky
0283.jpg,windmill
0284.jpg,fire_station
0285.jpg,hayfield
0286.jpg,pagoda
0287.jpg,shoe_shop
0288.jpg,gasworks
0289.jpg,sandbar
0290.jpg,airplane_cabin
0291.jpg,parking_lot
0292.jpg,raceway
0293.jpg,fastfood_restaurant
0294.jpg,building_facade
0295.jpg,chapel
0296.jpg,woodland
0297.jpg,bowling_alley
0298.jpg,conference_room
0299.jpg,nightclub
0300.jpg,fountain
0301.jpg,bamboo_forest
0302.jpg,badlands
0303.jpg,utility_room
0304.jpg,plaza
0305.jpg,snowfield
0306.jpg,dining_room
0307.jpg,sky
0308.jpg,aquatic_theater
0309.jpg,woodland
0310.jpg,manhole
0311.jpg,tower
0312.jpg,cheese_factory
0313.jpg,football_field
0314.jpg,valley
0315.jpg,kindergarden_classroom
0316.jpg,cheese_factory
0317.jpg,amusement_park
0318.jpg,airfield
0319.jpg,playground
0320.jpg,cottage
0321.jpg,office
0322.jpg,rainforest
0323.jpg,building_facade
0324.jpg,desert_road
0325.jpg,banquet_hall
0326.jpg,football_field
0327.jpg,bedroom
0328.jpg,creek
0329.jpg,playground
0330.jpg,playground
0331.jpg,vineyard
0332.jpg,beach
0333.jpg,bar
0334.jpg,art_gallery
0335.jpg,river
0336.jpg,reading_room
0337.jpg,bar
0338.jpg,assembly_line
0339.jpg,ski_slope
0340.jpg,office_cubicles
0341.jpg,barn
0342.jpg,limousine_interior
0343.jpg,hill
0344.jpg,vineyard
0345.jpg,cottage_garden
0346.jpg,dam
0347.jpg,basement
0348.jpg,football_field
0349.jpg,fence
0350.jpg,dining_room
0351.jpg,hospital
0352.jpg,palace
0353.jpg,islet
0354.jpg,trailer_park
0355.jpg,hallway
0356.jpg,teashop
0357.jpg,flood
0358.jpg,street
0359.jpg,construction_site
0360.jpg,ranch_house
0361.jpg,tea_garden
0362.jpg,mansion
0363.jpg,bridge
0364.jpg,soccer_field
0365.jpg,pharmacy
0366.jpg,playground
0367.jpg,basement
0368.jpg,physics_laboratory
0369.jpg,swamp
0370.jpg,oasis
0371.jpg,cheese_factory
0372.jpg,city
0373.jpg,dining_car
0374.jpg,roof
0375.jpg,islet
0376.jpg,canteen
0377.jpg,mountain_road
0378.jpg,gift_shop
0379.jpg,oasis
0380.jpg,football_field
0381.jpg,corridor
0382.jpg,amusement_park
0383.jpg,ranch_house
0384.jpg,parking_lot
0385.jpg,gas_station
0386.jpg,attic
0387.jpg,archive
0388.jpg,fastfood_restaurant
0389.jpg,shoe_shop
0390.jpg,hill
0391.jpg,bowling_alley
0392.jpg,fire_station
0393.jpg,shoe_shop
0394.jpg,cafeteria
0395.jpg,drugstore
0396.jpg,skyscraper
0397.jpg,living_room
0398.jpg,shower
0399.jpg,sushi_bar
0400.jpg,naval_base
0401.jpg,junk_pile
0402.jpg,attic
0403.jpg,clothing_store
0404.jpg,utility_room
0405.jpg,baseball_field
0406.jpg,voting_booth
0407.jpg,reception
0408.jpg,shower
0409.jpg,courtroom
0410.jpg,barn
0411.jpg,computer_room
0412.jpg,coast
0413.jpg,windmill
0414.jpg,piano_store
0415.jpg,vineyard
0416.jpg,town_house
0417.jpg,cottage
0418.jpg,closet
0419.jpg,pond
0420.jpg,phone_booth
0421.jpg,hayfield
0422.jpg,auditorium
0423.jpg,raceway
0424.jpg,sandbar
0425.jpg,computer_room
0426.jpg,campsite
0427.jpg,building_facade
0428.jpg,office
0429.jpg,assembly_line
0430.jpg,fountain
0431.jpg,rainforest
0432.jpg,orchard
0433.jpg,ski_slope
0434.jpg,glacier
0435.jpg,fastfood_restaurant
0436.jpg,crosswalk
0437.jpg,gasworks
0438.jpg,television_studio
0439.jpg,galley
0440.jpg,armory
0441.jpg,submarine_interior
0442.jpg,pasture
0443.jpg,highway
0444.jpg,bridge
0445.jpg,recreation_room
0446.jpg,teashop
0447.jpg,town_house
0448.jpg,crosswalk
0449.jpg,art_studio
0450.jpg,highway
0451.jpg,bicycle_racks
0452.jpg,newsroom
0453.jpg,beach
0454.jpg,sky
0455.jpg,ramp
0456.jpg,mansion
0457.jpg,harbor
0458.jpg,bathroom
0459.jpg,art_gallery
0460.jpg,beach
0461.jpg,palace
0462.jpg,motel
0463.jpg,nightclub
0464.jpg,pharmacy
0465.jpg,dining_room
0466.jpg,pagoda
0467.jpg,amphitheater
0468.jpg,armory
0469.jpg,lecture_room
0470.jpg,resort
0471.jpg,lawn
0472.jpg,forest_road
0473.jpg,cliff
0474.jpg,sushi_bar
0475.jpg,rock_arch
0476.jpg,bayou
0477.jpg,attic
0478.jpg,tearoom
0479.jpg,beach
0480.jpg,food_court
0481.jpg,rubble
0482.jpg,aquatic_theater
0483.jpg,parking_lot
0484.jpg,picnic_area
0485.jpg,city
0486.jpg,mine
0487.jpg,fastfood_restaurant
0488.jpg,park
0489.jpg,bayou
0490.jpg,bowling_alley
0491.jpg,palace
0492.jpg,skyscraper
0493.jpg,badlands
0494.jpg,submarine_interior
0495.jpg,valley
0496.jpg,sandbar
0497.jpg,amphitheater
0498.jpg,pasture
0499.jpg,winery
0500.jpg,hospital
0501.jpg,music_studio
0502.jpg,pond
0503.jpg,basement
0504.jpg,pavilion
0505.jpg,amusement_park
0506.jpg,building_facade
0507.jpg,courthouse
0508.jpg,fence
0509.jpg,woodland
0510.jpg,plaza
0511.jpg,airfield
0512.jpg,office_cubicles
0513.jpg,snowfield
0514.jpg,bayou
0515.jpg,newsroom
0516.jpg,assembly_line
0517.jpg,ranch
0518.jpg,soccer_field
0519.jpg,yard
0520.jpg,elevator_lobby
0521.jpg,gas_station
0522.jpg,rock_arch
0523.jpg,windmill
0524.jpg,gorge
0525.jpg,bathroom
0526.jpg,vineyard
0527.jpg,bathroom
0528.jpg,golf_course
0529.jpg,park
0530.jpg,fishpond
0531.jpg,harbor
0532.jpg,pavilion
0533.jpg,bicycle_racks
0534.jpg,jewelry_shop
0535.jpg,armory
0536.jpg,ski_slope
0537.jpg,dam
0538.jpg,orchard
0539.jpg,conference_room
0540.jpg,sawmill
0541.jpg,water_mill
0542.jpg,fence
0543.jpg,physics_laboratory
0544.jpg,golf_course
0545.jpg,ski_slope
0546.jpg,resort
0547.jpg,beach
0548.jpg,gas_station
0549.jpg,downtown
0550.jpg,cheese_factory
0551.jpg,hallway
0552.jpg,office_cubicles
0553.jpg,airplane_cabin
0554.jpg,train_railway
0555.jpg,limousine_interior
0556.jpg,watering_hole
0557.jpg,amphitheater
0558.jpg,volcano
0559.jpg,ranch
0560.jpg,street
0561.jpg,city
0562.jpg,village
0563.jpg,amusement_arcade
0564.jpg,mine
0565.jpg,lawn
0566.jpg,basement
0567.jpg,office_building
0568.jpg,dorm_room
0569.jpg,cemetery
0570.jpg,reading_room
0571.jpg,conference_room
0572.jpg,ocean
0573.jpg,dining_room
0574.jpg,office_cubicles
0575.jpg,closet
0576.jpg,gorge
0577.jpg,sandbar
0578.jpg,badlands
0579.jpg,plaza
0580.jpg,hospital
0581.jpg,bus_shelter
0582.jpg,dentists_office
0583.jpg,farm
0584.jpg,bowling_alley
0585.jpg,parking_lot
0586.jpg,banquet_hall
0587.jpg,amphitheater
0588.jpg,ski_slope
0589.jpg,glacier
0590.jpg,watering_hole
0591.jpg,village
0592.jpg,town_house
0593.jpg,railway_yard
0594.jpg,courtroom
0595.jpg,town_house
0596.jpg,naval_base
0597.jpg,butchers_shop
0598.jpg,yard
0599.jpg,bamboo_forest
0600.jpg,ice_shelf
0601.jpg,kindergarden_classroom
0602.jpg,assembly_line
0603.jpg,hospital
0604.jpg,lab_classroom
0605.jpg,cliff
0606.jpg,kindergarden_classroom
0607.jpg,shoe_shop
0608.jpg,resort
0609.jpg,gift_shop
0610.jpg,creek
0611.jpg,raceway
0612.jpg,kitchen
0613.jpg,bus_interior
0614.jpg,yard
0615.jpg,bowling_alley
0616.jpg,motel
0617.jpg,mansion
0618.jpg,fastfood_restaurant
0619.jpg,skyscraper
0620.jpg,fishpond
0621.jpg,sky
0622.jpg,ramp
0623.jpg,tower
0624.jpg,newsroom
0625.jpg,badlands
0626.jpg,canteen
0627.jpg,courtroom
0628.jpg,newsroom
0629.jpg,cafeteria
0630.jpg,nightclub
0631.jpg,courtroom
0632.jpg,village
0633.jpg,bar
0634.jpg,downtown
0635.jpg,dining_car
0636.jpg,courthouse
0637.jpg,creek
0638.jpg,sawmill
0639.jpg,islet
0640.jpg,food_court
0641.jpg,rock_arch
0642.jpg,watering_hole
0643.jpg,office
0644.jpg,living_room
0645.jpg,shower
0646.jpg,repair_shop
0647.jpg,mountain
0648.jpg,staircase
0649.jpg,teashop
0650.jpg,submarine_interior
0651.jpg,bus_interior
0652.jpg,kindergarden_classroom
0653.jpg,dining_room
0654.jpg,vineyard
0655.jpg,dam
0656.jpg,schoolhouse
0657.jpg,lab_classroom
0658.jpg,palace
0659.jpg,seawall
0660.jpg,mine
0661.jpg,chapel
0662.jpg,voting_booth
0663.jpg,ice_shelf
0664.jpg,lawn
0665.jpg,playground
0666.jpg,yard
0667.jpg,computer_room
0668.jpg,airfield
0669.jpg,gorge
0670.jpg,skyscraper
0671.jpg,badlands
0672.jpg,railway_yard
0673.jpg,water_mill
0674.jpg,butchers_shop
0675.jpg,naval_base
0676.jpg,coffee_shop
0677.jpg,valley
0678.jpg,freeway
0679.jpg,sandbar
0680.jpg,hospital
0681.jpg,archive
0682.jpg,skyscraper
0683.jpg,pharmacy
0684.jpg,orchard
0685.jpg,courthouse
0686.jpg,creek
0687.jpg,attic
0688.jpg,closet
0689.jpg,cafeteria
0690.jpg,bedroom
0691.jpg,vineyard
0692.jpg,dining_hall
0693.jpg,gorge
0694.jpg,food_court
0695.jpg,flood
0696.jpg,cheese_factory
0697.jpg,mine
0698.jpg,shopfront
0699.jpg,coast
0700.jpg,restaurant
0701.jpg,harbor
0702.jpg,roof
0703.jpg,football_field
0704.jpg,bicycle_racks
0705.jpg,fountain
0706.jpg,train_railway
0707.jpg,butchers_shop
0708.jpg,pavilion
0709.jpg,assembly_line
0710.jpg,amphitheater
0711.jpg,dentists_office
0712.jpg,mansion
0713.jpg,campsite
0714.jpg,farm
0715.jpg,cafeteria
0716.jpg,sandbar
0717.jpg,rubble
0718.jpg,bookstore
0719.jpg,dam
0720.jpg,ocean
0721.jpg,ice_shelf
0722.jpg,motel
0723.jpg,desert_road
0724.jpg,cottage_garden
0725.jpg,beach
0726.jpg,windmill
0727.jpg,airplane_cabin
0728.jpg,roof
0729.jpg,mountain_road
0730.jpg,ranch_house
0731.jpg,hospital
0732.jpg,dentists_office
0733.jpg,nightclub
0734.jpg,chapel
0735.jpg,bookstore
0736.jpg,pharmacy
0737.jpg,street
0738.jpg,park
0739.jpg,train_railway
0740.jpg,lab_classroom
0741.jpg,fence
0742.jpg,naval_base
0743.jpg,aquarium
0744.jpg,food_court
0745.jpg,ranch
0746.jpg,gasworks
0747.jpg,pagoda
0748.jpg,auditorium
0749.jpg,airfield
0750.jpg,pavilion
0751.jpg,forest_road
0752.jpg,hill
0753.jpg,voting_booth
0754.jpg,village
0755.jpg,piano_store
0756.jpg,classroom
0757.jpg,nightclub
0758.jpg,highway
0759.jpg,office_cubicles
0760.jpg,mountain_road
0761.jpg,motel
0762.jpg,music_studio
0763.jpg,water_mill
0764.jpg,mine
0765.jpg,nightclub
0766.jpg,boat_deck
0767.jpg,islet
0768.jpg,cliff
0769.jpg,bookstore
0770.jpg,utility_room
0771.jpg,elevator_lobby
0772.jpg,park
0773.jpg,bus_interior
0774.jpg,fort
0775.jpg,chemistry_lab
0776.jpg,bridge
0777.jpg,canyon
0778.jpg,fence
0779.jpg,aquatic_theater
0780.jpg,naval_base
0781.jpg,water_tower
0782.jpg,watering_hole
0783.jpg,city
0784.jpg,computer_room
0785.jpg,downtown
0786.jpg,canteen
0787.jpg,ice_shelf
0788.jpg,shower
0789.jpg,trailer_park
0790.jpg,limousine_interior
0791.jpg,street
0792.jpg,mountain
0793.jpg,office
0794.jpg,crosswalk
0795.jpg,naval_base
0796.jpg,canteen
0797.jpg,swamp
0798.jpg,fort
0799.jpg,highway
0800.jpg,sushi_bar
0801.jpg,classroom
0802.jpg,hill
0803.jpg,rubble
0804.jpg,water_tower
0805.jpg,bowling_alley
0806.jpg,snowfield
0807.jpg,crosswalk
0808.jpg,hill
0809.jpg,courtroom
0810.jpg,pasture
0811.jpg,gift_shop
0812.jpg,pagoda
0813.jpg,supermarket
0814.jpg,campsite
0815.jpg,tower
0816.jpg,courtyard
0817.jpg,shopfront
0818.jpg,orchard
0819.jpg,village
0820.jpg,dentists_office
0821.jpg,beach
0822.jpg,butchers_shop
0823.jpg,bridge
0824.jpg,harbor
0825.jpg,sky
0826.jpg,reading_room
0827.jpg,music_studio
0828.jpg,vineyard
0829.jpg,bayou
0830.jpg,village
0831.jpg,dining_hall
0832.jpg,sawmill
0833.jpg,manhole
0834.jpg,canteen
0835.jpg,bowling_alley
0836.jpg,windmill
0837.jpg,ice_shelf
0838.jpg,courthouse
0839.jpg,mansion
0840.jpg,badlands
0841.jpg,hayfield
0842.jpg,reception
0843.jpg,amphitheater
0844.jpg,beach
0845.jpg,dining_room
0846.jpg,tea_garden
0847.jpg,seawall
0848.jpg,kindergarden_classroom
0849.jpg,fastfood_restaurant
0850.jpg,campsite
0851.jpg,newsroom
0852.jpg,raceway
0853.jpg,water_tower
0854.jpg,campsite
0855.jpg,aquarium
0856.jpg,park
0857.jpg,ranch_house
0858.jpg,auditorium
0859.jpg,junk_pile
0860.jpg,city
0861.jpg,oasis
0862.jpg,bamboo_forest
0863.jpg,tea_garden
0864.jpg,cafeteria
0865.jpg,phone_booth
0866.jpg,fire_station
0867.jpg,limousine_interior
0868.jpg,creek
0869.jpg,repair_shop
0870.jpg,beach
0871.jpg,barn
0872.jpg,amusement_arcade
0873.jpg,bookstore
0874.jpg,bus_interior
0875.jpg,pagoda
0876.jpg,ramp
0877.jpg,hill
0878.jpg,golf_course
0879.jpg,raceway
0880.jpg,pet_shop
0881.jpg,swamp
0882.jpg,amusement_arcade
0883.jpg,yard
0884.jpg,repair_shop
0885.jpg,piano_store
0886.jpg,bookstore
0887.jpg,cottage
0888.jpg,galley
0889.jpg,repair_shop
0890.jpg,pharmacy
0891.jpg,cafeteria
0892.jpg,railway_yard
0893.jpg,trailer_park
0894.jpg,closet
0895.jpg,baseball_field
0896.jpg,golf_course
0897.jpg,bus_interior
0898.jpg,pavilion
0899.jpg,voting_booth
0900.jpg,winery
0901.jpg,supermarket
0902.jpg,harbor
0903.jpg,assembly_line
0904.jpg,supermarket
0905.jpg,river
0906.jpg,videostore
0907.jpg,repair_shop
0908.jpg,sushi_bar
0909.jpg,piano_store
0910.jpg,nightclub
0911.jpg,park
0912.jpg,basement
0913.jpg,voting_booth
0914.jpg,hallway
0915.jpg,baseball_field
0916.jpg,lecture_room
0917.jpg,seawall
0918.jpg,basement
0919.jpg,schoolhouse
0920.jpg,gasworks
0921.jpg,bamboo_forest
0922.jpg,office
0923.jpg,drugstore
0924.jpg,dining_car
0925.jpg,volcano
0926.jpg,fishpond
0927.jpg,recreation_room
0928.jpg,playground
0929.jpg,soccer_field
0930.jpg,submarine_interior
0931.jpg,freeway
0932.jpg,rock_arch
0933.jpg,shower
0934.jpg,town_house
0935.jpg,conference_room
0936.jpg,repair_shop
0937.jpg,classroom
0938.jpg,city
0939.jpg,food_court
0940.jpg,bedroom
0941.jpg,trailer_park
0942.jpg,parlor
0943.jpg,bridge
0944.jpg,mountain_road
0945.jpg,nightclub
0946.jpg,sea_cliff
0947.jpg,auditorium
0948.jpg,music_studio
0949.jpg,baseball_field
0950.jpg,junk_pile
0951.jpg,art_school
0952.jpg,creek
0953.jpg,ice_shelf
0954.jpg,ski_slope
0955.jpg,football_field
0956.jpg,butchers_shop
0957.jpg,bar
0958.jpg,shopfront
0959.jpg,ski_resort
0960.jpg,assembly_line
0961.jpg,sea_cliff
0962.jpg,forest_road
0963.jpg,music_studio
0964.jpg,bowling_alley
0965.jpg,submarine_interior
0966.jpg,galley
0967.jpg,canteen
0968.jpg,archive
0969.jpg,mountain
0970.jpg,gorge
0971.jpg,ramp
0972.jpg,pasture
0973.jpg,corridor
0974.jpg,trailer_park
0975.jpg,bus_interior
0976.jpg,closet
0977.jpg,corridor
0978.jpg,bedroom
0979.jpg,phone_booth
0980.jpg,sushi_bar
0981.jpg,cafeteria
0982.jpg,lecture_room
0983.jpg,piano_store
0984.jpg,bus_interior
0985.jpg,butchers_shop
0986.jpg,aquarium
0987.jpg,drugstore
0988.jpg,armory
0989.jpg,badlands
0990.jpg,elevator_lobby
0991.jpg,amusement_arcade
0992.jpg,cottage
0993.jpg,bar
0994.jpg,assembly_line
0995.jpg,fountain
0996.jpg,hallway
0997.jpg,fastfood_restaurant
0998.jpg,art_gallery
0999.jpg,pasture
